RAO for Heading #001
  Freq  TopStress  BotStress  MidStress
      1 0.6523     0.4693     0.5595    
      2 0.9568     0.6864     0.8197    
      3 0.6329     0.4518     0.5409    
      4  1.274     0.9136      1.092    
      5  1.748      1.247      1.495    
      6  1.346     0.9658      1.154    
      7  2.581      1.840      2.206    
      8  2.154      1.542      1.843    
      9  1.939      1.382      1.659    
     10  2.054      1.456      1.754    
     11  4.205      3.018      3.601    
     12  2.841      2.052      2.437    
     13  1.380      1.501      1.405    
     14  1.800      1.777      1.724    
     15  2.538      2.213      2.364    
     16  2.609      2.300      2.436    
     17  2.407      2.231      2.272    
     18  2.238      2.119      2.122    
     19  2.078      1.990      1.973    
     20  1.842      1.735      1.739    
     21  1.822      1.545      1.657    
     22  1.971      1.498      1.724    
     23  2.167      1.578      1.871    
     24  2.217      1.605      1.910    
     25  2.165      1.572      1.867    
     26  2.179      1.719      1.938    
     27  2.956      2.880      2.746    
     28 0.6422     0.4697     0.5363    
RAO for Heading #002
  Freq  TopStress  BotStress  MidStress
      1 0.5899     0.4192     0.5024    
      2 0.6674     0.4587     0.5595    
      3 0.6615     0.5143     0.5825    
      4  1.150     0.8062     0.9773    
      5 0.9144     0.6357     0.7736    
      6 0.2204     0.3166     0.2614    
      7  1.314     0.8376      1.067    
      8 0.6952     0.5178     0.6006    
      9 0.7203     0.5349     0.6259    
     10  1.986      1.446      1.687    
     11  3.488      3.986      3.680    
     12  1.995      1.464      1.709    
     13  1.561      1.223      1.374    
     14  1.695      1.347      1.441    
     15  2.189      1.822      1.857    
     16  2.115      1.790      1.791    
     17  1.538      1.354      1.302    
     18  1.183      1.069      1.011    
     19  1.102     0.9835      1.003    
     20  1.108     0.9266     0.9827    
     21  1.148     0.8631     0.9506    
     22  1.243     0.8099     0.9220    
     23  1.414     0.7354      1.011    
     24  1.487     0.7846      1.096    
     25  1.574     0.9887      1.251    
     26  1.838      1.447      1.621    
     27  3.207      2.725      2.424    
     28  2.686      2.638      2.478    
RAO for Heading #003
  Freq  TopStress  BotStress  MidStress
      1 0.1075     0.8211E-01 0.9357E-01
      2 0.2927     0.1901     0.2364    
      3 0.4287     0.3736     0.3939    
      4 0.2744     0.2333     0.2355    
      5 0.6339     0.4079     0.5110    
      6  1.044     0.7452     0.8291    
      7 0.7565     0.7434     0.7125    
      8 0.9720      1.173      1.060    
      9  1.380     0.8629      1.046    
     10  1.559      1.004      1.191    
     11  5.134      4.712      4.858    
     12  1.521      1.650      1.549    
     13  1.041      1.044      1.016    
     14  1.630      1.361      1.381    
     15  2.880      2.448      2.448    
     16  2.887      2.633      2.600    
     17  2.657      2.425      2.347    
     18  2.479      2.225      2.195    
     19  2.303      2.028      2.047    
     20  1.979      1.678      1.762    
     21  1.707      1.411      1.511    
     22  1.487      1.227      1.304    
     23  1.221      1.040      1.073    
     24  1.084     0.9451     0.9580    
     25  1.048     0.7512     0.8523    
     26  1.526      1.332      1.392    
     27  3.360      2.695      2.453    
     28  5.228      5.039      4.794    
RAO for Heading #004
  Freq  TopStress  BotStress  MidStress
      1 0.5434     0.4070     0.4727    
      2 0.8725     0.6051     0.7377    
      3  1.267     0.8909      1.077    
      4 0.7166     0.5612     0.6325    
      5 0.6568     0.4971     0.5729    
      6 0.6616     0.7026     0.6207    
      7 0.5839     0.3641     0.4507    
      8 0.9094     0.6297     0.7659    
      9  1.349     0.9705      1.155    
     10  2.245      1.452      1.847    
     11  7.201      5.267      6.223    
     12  3.592      2.462      3.009    
     13  2.332      1.793      2.044    
     14  2.096      2.008      2.016    
     15  3.027      2.898      2.883    
     16  3.108      2.958      2.929    
     17  2.744      2.538      2.497    
     18  2.490      2.254      2.212    
     19  2.259      2.002      1.958    
     20  1.878      1.678      1.641    
     21  1.642      1.580      1.496    
     22  1.501      1.487      1.401    
     23  1.299      1.331      1.246    
     24  1.170      1.218      1.138    
     25 0.9623     0.9854     0.9392    
     26  1.439      1.320      1.279    
     27  3.319      2.784      2.436    
     28  7.042      6.739      6.441    
RAO for Heading #005
  Freq  TopStress  BotStress  MidStress
      1 0.2400     0.2260     0.2256    
      2 0.3041     0.2926     0.2902    
      3 0.4284     0.3865     0.3947    
      4 0.5566     0.5218     0.5237    
      5 0.7783     0.7312     0.7276    
      6 0.6045     0.5646     0.5633    
      7  1.148      1.087      1.072    
      8 0.9938     0.9437     0.9253    
      9 0.9864     0.8504     0.9095    
     10  1.028     0.9832     0.9605    
     11  3.130      2.838      2.835    
     12  3.063      2.648      2.699    
     13  2.814      2.339      2.417    
     14  2.668      2.182      2.260    
     15  2.628      2.227      2.280    
     16  2.629      2.170      2.241    
     17  2.606      2.206      2.249    
     18  2.541      2.190      2.201    
     19  2.461      2.159      2.134    
     20  2.352      2.133      2.078    
     21  2.278      2.117      2.050    
     22  2.216      2.095      2.023    
     23  2.074      1.996      1.923    
     24  1.952      1.894      1.824    
     25  1.587      1.554      1.498    
     26  1.605      1.488      1.472    
     27  3.131      2.976      2.741    
     28  7.723      7.355      7.049    
RAO for Heading #006
  Freq  TopStress  BotStress  MidStress
      1 0.6946     0.4872     0.5896    
      2 0.7968     0.5552     0.6738    
      3  1.969      1.380      1.674    
      4 0.7875     0.5679     0.6739    
      5 0.6564     0.4812     0.5662    
      6  1.301      1.019      1.149    
      7  1.777      1.408      1.583    
      8  1.659      1.230      1.439    
      9  1.930      1.343      1.635    
     10  2.991      1.989      2.490    
     11  7.758      5.894      6.815    
     12  3.780      2.817      3.283    
     13  1.731      1.397      1.524    
     14  1.711      1.527      1.513    
     15  1.806      1.542      1.608    
     16  1.839      1.616      1.630    
     17  2.662      2.414      2.453    
     18  2.919      2.673      2.716    
     19  3.059      2.821      2.857    
     20  3.164      2.936      2.947    
     21  3.169      2.943      2.929    
     22  3.123      2.897      2.874    
     23  2.970      2.753      2.726    
     24  2.830      2.622      2.595    
     25  2.351      2.170      2.148    
     26  2.090      1.898      1.895    
     27  3.244      3.243      3.126    
     28  7.102      6.729      6.467    
RAO for Heading #007
  Freq  TopStress  BotStress  MidStress
      1 0.1127     0.8656E-01 0.9882E-01
      2 0.5597     0.4400     0.4965    
      3 0.6332     0.5075     0.5675    
      4 0.5656     0.4336     0.4970    
      5  1.435      1.128      1.273    
      6  2.463      1.905      2.172    
      7 0.5672     0.4617     0.5005    
      8  2.395      1.816      2.095    
      9  4.300      3.414      3.826    
     10  5.455      4.324      4.854    
     11  5.210      4.462      4.809    
     12  1.964      1.423      1.690    
     13  2.389      1.674      2.024    
     14  3.163      2.369      2.747    
     15  3.854      3.053      3.430    
     16  3.758      3.147      3.412    
     17  3.882      3.524      3.668    
     18  3.990      3.666      3.806    
     19  4.011      3.710      3.846    
     20  3.872      3.630      3.734    
     21  3.713      3.482      3.566    
     22  3.619      3.341      3.419    
     23  3.433      3.115      3.197    
     24  3.281      2.954      3.040    
     25  2.793      2.477      2.570    
     26  2.480      2.164      2.260    
     27  3.564      3.408      3.373    
     28  5.379      5.052      4.877    
RAO for Heading #008
  Freq  TopStress  BotStress  MidStress
      1 0.7136     0.5097     0.6099    
      2 0.3560     0.2606     0.3042    
      3 0.7338     0.5278     0.6197    
      4  1.098     0.7730     0.9339    
      5 0.8261     0.5867     0.7049    
      6 0.5033     0.4209     0.4417    
      7  1.814      1.388      1.591    
      8  1.553      1.160      1.351    
      9  1.052     0.8248     0.9372    
     10  2.956      2.120      2.521    
     11  3.264      3.775      3.469    
     12  2.121      1.365      1.728    
     13  2.754      1.845      2.290    
     14  3.532      2.683      3.092    
     15  4.107      3.492      3.738    
     16  4.075      3.601      3.764    
     17  4.109      3.781      3.881    
     18  4.077      3.772      3.871    
     19  3.967      3.679      3.779    
     20  3.620      3.344      3.461    
     21  3.351      3.053      3.190    
     22  3.214      2.873      3.024    
     23  3.109      2.699      2.879    
     24  3.018      2.581      2.775    
     25  2.681      2.232      2.434    
     26  2.458      2.052      2.242    
     27  3.482      3.303      3.289    
     28  2.953      2.709      2.647    
RAO for Heading #009
  Freq  TopStress  BotStress  MidStress
      1 0.6458     0.4647     0.5539    
      2 0.9467     0.6781     0.8105    
      3 0.9179     0.6609     0.7878    
      4 0.9053     0.6477     0.7741    
      5  1.605      1.154      1.375    
      6  1.065     0.7688     0.9143    
      7  2.193      1.568      1.875    
      8  2.436      1.749      2.088    
      9 0.8743     0.6894     0.7747    
     10  1.878      1.321      1.599    
     11  3.986      2.850      3.410    
     12  2.841      2.037      2.435    
     13  1.790      1.394      1.587    
     14  1.599      1.470      1.513    
     15  2.010      1.994      1.929    
     16  2.244      2.189      2.143    
     17  2.492      2.337      2.361    
     18  2.471      2.290      2.336    
     19  2.376      2.185      2.240    
     20  2.133      1.910      1.993    
     21  2.017      1.676      1.836    
     22  2.062      1.592      1.816    
     23  2.194      1.606      1.897    
     24  2.230      1.617      1.922    
     25  2.154      1.562      1.857    
     26  2.176      1.717      1.935    
     27  3.068      3.014      2.923    
     28 0.6210     0.4481     0.5118    
RAO for Heading #010
  Freq  TopStress  BotStress  MidStress
      1 0.4081     0.2957     0.3490    
      2 0.5385     0.4044     0.4682    
      3 0.5465     0.6814     0.6055    
      4 0.6968     0.4980     0.5958    
      5 0.2669     0.2055     0.2221    
      6  2.257      1.552      1.902    
      7 0.8280     0.6148     0.7115    
      8 0.9033     0.6334     0.7602    
      9  1.054      1.168      1.087    
     10  2.057      1.514      1.768    
     11  4.282      4.580      4.337    
     12 0.7074     0.9424     0.7983    
     13  1.508      1.327      1.354    
     14  2.217      2.029      1.996    
     15  2.749      2.520      2.454    
     16  2.538      2.297      2.259    
     17  1.939      1.700      1.724    
     18  1.687      1.458      1.503    
     19  1.486      1.267      1.327    
     20  1.249      1.022      1.101    
     21  1.166     0.8889     0.9811    
     22  1.198     0.8090     0.9135    
     23  1.365     0.7296     0.9711    
     24  1.448     0.7676      1.067    
     25  1.553     0.9827      1.237    
     26  1.839      1.457      1.628    
     27  3.143      2.778      2.510    
     28  2.642      2.623      2.460    
RAO for Heading #011
  Freq  TopStress  BotStress  MidStress
      1 0.6180E-01 0.5121E-01 0.5377E-01
      2 0.2394     0.1543     0.1907    
      3 0.4002     0.3701     0.3763    
      4 0.3269     0.3219     0.3064    
      5 0.8133     0.5021     0.6492    
      6  1.270     0.9150      1.018    
      7 0.2950     0.2957     0.2842    
      8  1.235      1.166      1.134    
      9  1.710      1.024      1.313    
     10  1.470      1.192      1.171    
     11  4.913      4.032      4.452    
     12  1.435      1.542      1.475    
     13  2.658      2.701      2.584    
     14  3.493      3.457      3.323    
     15  3.961      3.782      3.661    
     16  3.634      3.416      3.304    
     17  2.895      2.640      2.584    
     18  2.593      2.323      2.312    
     19  2.333      2.051      2.079    
     20  1.926      1.632      1.714    
     21  1.630      1.356      1.445    
     22  1.415      1.183      1.247    
     23  1.168      1.015      1.038    
     24  1.043     0.9285     0.9341    
     25  1.061     0.7716     0.8794    
     26  1.553      1.364      1.425    
     27  3.284      2.687      2.384    
     28  5.176      5.015      4.767    
RAO for Heading #012
  Freq  TopStress  BotStress  MidStress
      1 0.2949     0.2339     0.2602    
      2 0.7970     0.5567     0.6762    
      3 0.9921     0.6611     0.8264    
      4 0.5700     0.4115     0.4844    
      5 0.2324     0.2083     0.1905    
      6  1.159     0.8597      1.003    
      7  1.388     0.9252      1.152    
      8 0.6491     0.6757     0.6353    
      9  1.471      1.404      1.385    
     10  3.356      2.217      2.782    
     11  6.332      4.734      5.523    
     12  3.156      2.328      2.723    
     13  2.480      1.986      2.196    
     14  2.511      2.548      2.503    
     15  2.876      2.843      2.785    
     16  2.769      2.710      2.635    
     17  2.473      2.329      2.255    
     18  2.292      2.100      2.036    
     19  2.104      1.874      1.838    
     20  1.830      1.709      1.636    
     21  1.719      1.657      1.577    
     22  1.582      1.564      1.480    
     23  1.370      1.396      1.313    
     24  1.237      1.276      1.198    
     25  1.030      1.042     0.9973    
     26  1.448      1.367      1.335    
     27  3.243      2.717      2.349    
     28  7.011      6.732      6.432    
RAO for Heading #013
  Freq  TopStress  BotStress  MidStress
      1 0.1913     0.1933     0.1887    
      2 0.2772     0.2783     0.2727    
      3 0.3254     0.3163     0.3098    
      4 0.3732     0.3672     0.3565    
      5 0.6509     0.6311     0.6181    
      6 0.4567     0.4424     0.4317    
      7 0.9810     0.9487     0.9270    
      8  1.214      1.134      1.120    
      9 0.5028     0.4669     0.4489    
     10 0.7854     0.7965     0.7655    
     11  3.548      3.191      3.239    
     12  3.473      3.070      3.138    
     13  2.962      2.591      2.635    
     14  2.461      2.140      2.148    
     15  1.815      1.581      1.538    
     16  1.668      1.442      1.400    
     17  1.749      1.505      1.465    
     18  1.880      1.634      1.592    
     19  1.999      1.762      1.715    
     20  2.158      1.957      1.898    
     21  2.204      2.045      1.977    
     22  2.187      2.063      1.991    
     23  2.066      1.984      1.912    
     24  1.951      1.888      1.819    
     25  1.607      1.564      1.510    
     26  1.619      1.527      1.512    
     27  3.058      2.852      2.581    
     28  7.706      7.362      7.055    
RAO for Heading #014
  Freq  TopStress  BotStress  MidStress
      1 0.5818     0.4421     0.5095    
      2 0.4432     0.2954     0.3692    
      3  1.339     0.9418      1.140    
      4 0.5385     0.4672     0.4958    
      5 0.5131     0.3903     0.4488    
      6  1.345      1.091      1.197    
      7  1.973      1.490      1.723    
      8  1.239     0.9855      1.105    
      9 0.8025     0.8514     0.7979    
     10  4.508      3.116      3.812    
     11  7.830      6.264      7.031    
     12  3.746      2.757      3.242    
     13  2.679      2.058      2.346    
     14  1.812      1.483      1.611    
     15  1.040     0.9153     0.9486    
     16  1.428      1.167      1.270    
     17  2.051      1.784      1.874    
     18  2.261      2.072      2.136    
     19  2.475      2.297      2.337    
     20  2.801      2.592      2.594    
     21  2.946      2.724      2.704    
     22  2.982      2.756      2.730    
     23  2.887      2.668      2.640    
     24  2.769      2.558      2.530    
     25  2.325      2.140      2.118    
     26  2.092      1.899      1.897    
     27  3.019      3.056      2.917    
     28  7.114      6.764      6.501    
RAO for Heading #015
  Freq  TopStress  BotStress  MidStress
      1 0.1449     0.1003     0.1225    
      2 0.5579     0.4435     0.4970    
      3 0.5640     0.4223     0.4917    
      4 0.6486     0.4971     0.5704    
      5  1.379      1.100      1.230    
      6  2.565      1.995      2.268    
      7 0.7405     0.5042     0.6194    
      8  2.986      2.282      2.624    
      9  4.291      3.423      3.828    
     10  5.152      4.084      4.582    
     11  7.010      5.668      6.318    
     12  3.351      2.451      2.896    
     13  1.912      1.322      1.609    
     14  1.644      1.253      1.390    
     15  2.955      2.487      2.668    
     16  3.500      2.980      3.190    
     17  3.903      3.440      3.617    
     18  3.886      3.481      3.630    
     19  3.788      3.446      3.572    
     20  3.537      3.279      3.394    
     21  3.425      3.210      3.286    
     22  3.428      3.152      3.222    
     23  3.320      3.001      3.078    
     24  3.198      2.869      2.952    
     25  2.752      2.433      2.525    
     26  2.463      2.148      2.242    
     27  3.311      3.196      3.141    
     28  5.401      5.095      4.921    
RAO for Heading #016
  Freq  TopStress  BotStress  MidStress
      1 0.8284     0.5965     0.7109    
      2 0.5643     0.4119     0.4830    
      3  1.198     0.8418      1.017    
      4 0.7419     0.5490     0.6424    
      5  1.059     0.7697     0.9133    
      6  2.371      1.705      2.034    
      7  1.785      1.368      1.567    
      8  1.881      1.382      1.627    
      9  1.397      1.045      1.210    
     10  1.893      1.358      1.595    
     11  2.698      3.100      2.854    
     12  2.448      1.743      2.091    
     13  2.656      2.031      2.336    
     14  2.858      2.310      2.573    
     15  3.858      3.197      3.514    
     16  4.170      3.537      3.827    
     17  4.172      3.730      3.883    
     18  3.990      3.638      3.740    
     19  3.765      3.485      3.551    
     20  3.322      3.115      3.172    
     21  3.072      2.811      2.931    
     22  3.026      2.704      2.845    
     23  3.009      2.607      2.783    
     24  2.947      2.515      2.706    
     25  2.649      2.203      2.405    
     26  2.443      2.046      2.231    
     27  3.249      3.114      3.073    
     28  2.967      2.743      2.681    
